Time,Fuel,Fan,Feed,Temp,O2
9/30/2012 9:18,15,90,100,900.2415884,4.977474606
9/30/2012 9:18,15,90,100,900.1932708,4.983105956
9/30/2012 9:18,15,90,100,900.1546166,4.987329466
9/30/2012 9:18,15,90,100,900.1236932,4.9904971
9/30/2012 9:19,15,90,100,900.0989546,4.992872824
9/30/2012 9:19,15,90,100,900.0791638,4.994654618
9/30/2012 9:19,15,90,100,900.063331,4.995990964
9/30/2012 9:19,15,90,100,900.0506648,4.996993222
9/30/2012 9:19,15,90,100,900.0405318,4.997744918
9/30/2012 9:19,15,90,100,900.0324254,4.998308688
9/30/2012 9:20,15,90,100,900.0259404,4.998731516
9/30/2012 9:20,15,90,100,900.0207522,4.999048636
9/30/2012 9:20,15,90,100,900.0166018,4.999286478
9/30/2012 9:20,15,90,100,900.0132814,4.999464858
9/30/2012 9:20,15,90,100,900.0106252,4.999598644
9/30/2012 9:20,15,90,100,900.0085002,4.999698982
9/30/2012 9:21,15,90,100,900.0068002,4.999774238
9/30/2012 9:21,15,90,100,900.00544,4.999830678
9/30/2012 9:21,15,90,100,900.004352,4.999873008
9/30/2012 9:21,15,90,100,900.0034816,4.999904756
9/30/2012 9:21,15,90,100,900.0027854,4.999928568
9/30/2012 9:21,15,90,100,900.0022282,4.999946426
9/30/2012 9:22,15,90,100,900.0017826,4.99995982
9/30/2012 9:22,15,90,100,900.001426,4.999969864
9/30/2012 9:22,15,90,100,900.0011408,4.999977398
9/30/2012 9:22,15,90,100,900.0009126,4.999983048
9/30/2012 9:22,15,90,100,900.0007302,4.999987286
9/30/2012 9:22,15,90,100,900.0005842,4.999990464
9/30/2012 9:23,15,90,100,900.0004674,4.999992848
9/30/2012 9:23,15,90,100,900.0003738,4.999994636
9/30/2012 9:23,15,90,100,900.000299,4.999995978
9/30/2012 9:23,15,90,100,900.0002392,4.999996984
9/30/2012 9:23,15,90,100,900.0001914,4.999997738
9/30/2012 9:23,15,90,100,900.0001532,4.999998302
9/30/2012 9:24,15,90,100,900.0001224,4.999998728
9/30/2012 9:24,12,90,100,900.000098,4.999999046
9/30/2012 9:24,12,90,100,900.0000784,4.999999284
9/30/2012 9:24,12,90,100,900.0000628,4.999999464
9/30/2012 9:24,12,90,100,900.0000502,4.999999598
9/30/2012 9:24,12,90,100,900.0000402,4.999999698
9/30/2012 9:25,12,90,100,900.0000322,4.999999774
9/30/2012 9:25,12,90,100,900.0000256,4.99999983
9/30/2012 9:25,12,90,100,899.6400206,5.074999872
9/30/2012 9:25,12,90,100,899.3520164,5.131249904
9/30/2012 9:25,12,90,100,899.1216132,5.173437428
9/30/2012 9:25,12,90,100,898.9372906,5.205078072
9/30/2012 9:26,12,90,100,898.7898324,5.228808554
9/30/2012 9:26,12,90,100,898.671866,5.246606416
9/30/2012 9:26,12,90,100,898.5774928,5.259954812
9/30/2012 9:26,12,90,100,898.5019942,5.269966108
